commodity,price,location,old_price,different_perc
Generic Machined Alloy Front Portal Drive Housing Red Kits For Traxxas TRX-4 Crawler #black-Black (black),"KSh 5,119",Shipped from abroad,"KSh 10,238",50%
Generic POS-5802LN Portale Mini 58mm 1 To 8 Wireless USB Thermal,"KSh 8,332 - KSh 8,333",Shipped from abroad,"KSh 16,664 - KSh 16,666",50%
Generic 1:16 1/16 Scale RC Front Rear Bridge Portal Bridge For WPL Truck Off,"KSh 5,128",Shipped from abroad,"KSh 7,179",29%
Generic POS-5802LN Portale Mini 58mm,"KSh 23,302",Shipped from abroad,"KSh 46,604",50%
Generic Machined Alloy Rear K Portal Drive Housing Set Red For Traxx,"KSh 4,449",Shipped from abroad,"KSh 7,306",39%
Generic Machined Alloy Rear K Portal Drive Housing Set Red For Traxx,"KSh 4,419",Shipped from abroad,"KSh 7,253",39%
Generic RC Spare Parts P860002 Portal Axle Box Cover,KSh 916,Shipped from abroad,"KSh 1,695",46%
Generic Portal 2 Mouse Pad 900x400x2mm Mats Mass PatternX Computer Mouse Mat Gaming Best Seller Large Mousepad Keyboard Games Pc Gamer  FADY,"KSh 4,644",Shipped from abroad,"KSh 8,916",48%
"Generic Metal Front Portal Drive Steering Knuckle for YIKONG YK4102 YK4103,A","KSh 2,296",Shipped from abroad,"KSh 3,011",24%
Generic Machined Alloy Front Portal Drive Housing Red Kits For - Red,"KSh 6,454",Shipped from abroad,"KSh 8,389",23%
Generic 6Pcs Brass Portal Drive Axle Housing Steering Knuckle,"KSh 6,279",Shipped from abroad,"KSh 11,617",46%
Generic Machined Alloy Front Portal Drive Housing Red Kits F - Black,"KSh 6,454",Shipped from abroad,"KSh 8,389",23%
Generic 12Pcs Brass Front & Rear Portal Drive Housing Cover Counterweight for YK4102 YK4103 YK4082 YiKong RC Crawler Car Parts,"KSh 10,521",Shipped from abroad,"KSh 11,475",8%
Generic POS-5802LN Portale Mini 58mm 1 To 8 Wireless USB Thermal,"KSh 11,807 - KSh 11,945",Shipped from abroad,"KSh 21,253 - KSh 21,501",44%
"Generic CNC Anodized Full Metal Front Rear Portal Axle with Drive Shaft for MN D90 MN98 MN99S MN45 1/12 RC Car Upgrade Parts,A","KSh 6,064",Shipped from abroad,"KSh 6,634",9%
Generic CNC Machined Alloy Rear Portal Drive Housing Set Red For Traxxas TRX-4 Crawler #red,"KSh 5,697",Shipped from abroad,"KSh 8,764",35%
Generic POS-5802LN Portale Mini 58mm 1 To 8 Bluetooth Thermal Printer Receipt Bill Ticket POS Printing,"KSh 11,636",Shipped from abroad,"KSh 23,272",50%
Generic Machined Alloy Front K Rear Portal Axles Housing Black Crawl,"KSh 18,329",Shipped from abroad,"KSh 30,043",39%
Generic Machined Alloy Front K Portal Drive Housing Red Kits For Tra,"KSh 5,069",Shipped from abroad,"KSh 8,330",39%
Generic Machined Alloy Front Portal Drive Housing Red Kits For Traxxas TRX-4 Crawler #pink-Red (red),"KSh 5,119",Shipped from abroad,"KSh 10,238",50%
Generic POS-5802LN Portale Mini 58mm,"KSh 23,303",Shipped from abroad,"KSh 46,606",50%
Generic Machined Alloy Front K Portal Drive Housing Red Kits For Tra,"KSh 5,069",Shipped from abroad,"KSh 8,330",39%
Generic POS-5802LN Portale Mini 58mm 1 To 8 Wireless USB Thermal,"KSh 12,117 - KSh 12,260",Shipped from abroad,"KSh 21,811 - KSh 22,068",44%
Generic Machined Aluminum Front K Rear Portal Axles Housing For Craw,"KSh 18,329",Shipped from abroad,"KSh 30,043",39%
